Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id1_Mix1_Diam_6_p_1,8,1,6,6,0,Standard_QAOA,1,0.8571428568121812,5,704,5.9999999976852685,6,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,10101101
N8_id1_Mix1_Diam_6_p_2,8,1,6,6,0,Standard_QAOA,2,0.9285714172974392,9,1302,6.499999921082075,7,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,10110100
N8_id1_Mix1_Diam_6_p_3,8,1,6,6,0,Standard_QAOA,3,0.9999999837562747,13,2254,6.999999886293924,7,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,1001011
N8_id1_Mix1_Diam_4_p_1,8,1,6,4,1,XX_Mixer,1,0.8571428525432095,6,1003,5.9999999678024665,6,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,10101101
N8_id1_Mix1_Diam_4_p_2,8,1,6,4,1,XX_Mixer,2,0.9285714074374266,10,1584,6.499999852061986,7,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,1001011
N8_id1_Mix1_Diam_4_p_3,8,1,6,4,1,XX_Mixer,3,0.99999783784697,14,6468,6.9999848649287895,7,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,1001011
N8_id1_Mix2_Diam_4_p_1,8,1,6,4,1,XX+YY_Mixer,1,0.8571428551607294,7,697,5.999999986125106,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,1001011
N8_id1_Mix2_Diam_4_p_2,8,1,6,4,1,XX+YY_Mixer,2,0.928571399233948,11,1518,6.499999794637636,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,1001011
N8_id1_Mix2_Diam_4_p_3,8,1,6,4,1,XX+YY_Mixer,3,0.9999999943049226,15,5145,6.999999960134458,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,10110100
N8_id1_Mix1_Diam_3_p_1,8,1,6,3,2,XX_Mixer,1,0.8571428514518468,6,810,5.999999960162928,6,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,1010010
N8_id1_Mix1_Diam_3_p_2,8,1,6,3,2,XX_Mixer,2,0.9285713547351389,10,1645,6.499999483145972,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,1001011
N8_id1_Mix1_Diam_3_p_3,8,1,6,3,2,XX_Mixer,3,0.9285713055066672,14,2756,6.499999138546671,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,1001011
N8_id1_Mix2_Diam_3_p_1,8,1,6,3,2,XX+YY_Mixer,1,0.8571428525405764,7,702,5.999999967784035,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,1001011
N8_id1_Mix2_Diam_3_p_2,8,1,6,3,2,XX+YY_Mixer,2,0.9999999658681188,12,1260,6.9999997610768325,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,10110100
N8_id1_Mix2_Diam_3_p_3,8,1,6,3,2,XX+YY_Mixer,3,0.9999999136842628,17,2288,6.99999939578984,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,10110100
N8_id1_Mix1_Diam_2_p_1,8,1,6,2,6,XX_Mixer,1,0.8571428438171242,8,682,5.99999990671987,6,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,10101101
N8_id1_Mix1_Diam_2_p_2,8,1,6,2,6,XX_Mixer,2,0.9285713785113384,14,1935,6.499999649579369,7,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,10110100
N8_id1_Mix1_Diam_2_p_3,8,1,6,2,6,XX_Mixer,3,0.9999998374304208,20,5504,6.999998862012946,7,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,1001011
N8_id1_Mix2_Diam_2_p_1,8,1,6,2,6,XX+YY_Mixer,1,0.857142846705454,11,1408,5.9999999269381785,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,1001011
N8_id1_Mix2_Diam_2_p_2,8,1,6,2,6,XX+YY_Mixer,2,0.9999999279987316,19,3827,6.999999495991121,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,1001011
N8_id1_Mix2_Diam_2_p_3,8,1,6,2,6,XX+YY_Mixer,3,0.999999819484736,27,4544,6.999998736393152,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,10110100
N8_id1_Mix1_Diam_1_p_1,8,1,6,1,21,XX_Mixer,1,0.9285714192209724,15,1480,6.499999934546806,6,Hypo_1,Standard_Rxx,Tree,7,1,1,0,1010110
N8_id1_Mix1_Diam_1_p_2,8,1,6,1,21,XX_Mixer,2,0.999999655322464,28,8979,6.999997587257248,7,Hypo_1,Standard_Rxx,Tree,7,1,1,0,1001011
N8_id1_Mix1_Diam_1_p_3,8,1,6,1,21,XX_Mixer,3,0.9999994680280532,41,13298,6.999996276196372,7,Hypo_1,Standard_Rxx,Tree,7,1,1,0,10110100
N8_id1_Mix2_Diam_1_p_1,8,1,6,1,21,XX+YY_Mixer,1,0.9285714065586744,25,2294,6.499999845910722,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1001011
N8_id1_Mix2_Diam_1_p_2,8,1,6,1,21,XX+YY_Mixer,2,0.9999998340988936,47,4818,6.999998838692254,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1001011
N8_id1_Mix2_Diam_1_p_3,8,1,6,1,21,XX+YY_Mixer,3,0.9999982756283436,69,13298,6.999987929398404,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1001011
N8_id2_Mix1_Diam_6_p_1,8,2,6,6,0,Standard_QAOA,1,0.8571428530622845,8,576,5.999999971435992,7,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,111
N8_id2_Mix1_Diam_6_p_2,8,2,6,6,0,Standard_QAOA,2,0.928571408357117,12,1178,6.49999985849982,7,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,11111000
N8_id2_Mix1_Diam_6_p_3,8,2,6,6,0,Standard_QAOA,3,0.9999998251011678,16,5198,6.999998775708175,7,Standard_QAOA,Standard_Rxx,Tree,7,6,1,0,11111000
N8_id2_Mix1_Diam_4_p_1,8,2,6,4,1,XX_Mixer,1,0.8571428502331118,8,425,5.999999951631782,6,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,10111100
N8_id2_Mix1_Diam_4_p_2,8,2,6,4,1,XX_Mixer,2,0.9285714054364912,12,2145,6.499999838055438,7,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,11111000
N8_id2_Mix1_Diam_4_p_3,8,2,6,4,1,XX_Mixer,3,0.9999986938835468,18,4949,6.999990857184828,7,Intermediate_Sweep,Standard_Rxx,Tree,7,4,1,0,11111000
N8_id2_Mix2_Diam_4_p_1,8,2,6,4,1,XX+YY_Mixer,1,0.8571428548461396,8,493,5.999999983922978,6,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,11110001
N8_id2_Mix2_Diam_4_p_2,8,2,6,4,1,XX+YY_Mixer,2,0.9285713976189984,12,1485,6.499999783332989,6,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,11110
N8_id2_Mix2_Diam_4_p_3,8,2,6,4,1,XX+YY_Mixer,3,0.9999999622047492,19,4067,6.999999735433245,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,4,2,0,11111000
