Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N12_id0_Mix1_Diam_2_p_2,12,0,9,2,15,XX_Mixer,2,0.95454528851172,23,8316,10.49999817362892,11,Intermediate_Sweep,Standard_Rxx,Tree,11,2,1,0,101001110100
N12_id0_Mix1_Diam_2_p_3,12,0,9,2,15,XX_Mixer,3,0.9545445660483314,33,7130,10.499990226531644,11,Intermediate_Sweep,Standard_Rxx,Tree,11,2,1,0,10110001011
N12_id0_Mix2_Diam_2_p_1,12,0,9,2,15,XX+YY_Mixer,1,0.8252136026689495,18,1911,9.077349629358444,10,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,111101000101
N12_id0_Mix2_Diam_2_p_2,12,0,9,2,15,XX+YY_Mixer,2,0.9545452305952996,33,7546,10.499997536548296,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,10110001011
N12_id0_Mix2_Diam_2_p_3,12,0,9,2,15,XX+YY_Mixer,3,0.9999914651646352,48,15065,10.999906116810989,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,2,2,0,10110001011
N12_id0_Mix1_Diam_1_p_1,12,0,9,1,55,XX_Mixer,1,0.9545453760032182,27,7347,10.4999991360354,10,Hypo_1,Standard_Rxx,Tree,11,1,1,0,10111010
N12_id0_Mix1_Diam_1_p_2,12,0,9,1,55,XX_Mixer,2,0.9545452897889938,51,13345,10.499998187678932,10,Hypo_1,Standard_Rxx,Tree,11,1,1,0,11111010
N12_id0_Mix1_Diam_1_p_3,12,0,9,1,55,XX_Mixer,3,0.954351325670493,75,15040,10.497864582375422,11,Hypo_1,Standard_Rxx,Tree,11,1,1,0,10110001011
N12_id0_Mix2_Diam_1_p_1,12,0,9,1,55,XX+YY_Mixer,1,0.9545453199120278,46,5214,10.499998519032308,10,Hypo_1,XX+YY_Driver,Tree,11,1,2,0,10111010
N12_id0_Mix2_Diam_1_p_2,12,0,9,1,55,XX+YY_Mixer,2,0.9999983256435282,90,13502,10.99998158207881,11,Hypo_1,XX+YY_Driver,Tree,11,1,2,0,101001110100
N12_id0_Mix2_Diam_1_p_3,12,0,9,1,55,XX+YY_Mixer,3,0.9997908648889648,134,15275,10.997699513778612,11,Hypo_1,XX+YY_Driver,Tree,11,1,2,0,10110001011
N13_id2_Mix1_Diam_9_p_1,13,2,9,9,0,Standard_QAOA,1,0.8749999897221624,7,754,10.49999987666595,12,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,10100110011
N13_id2_Mix1_Diam_9_p_2,13,2,9,9,0,Standard_QAOA,2,0.9166666594348016,12,3927,10.999999913217618,11,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,1100011101011
N13_id2_Mix1_Diam_9_p_3,13,2,9,9,0,Standard_QAOA,3,0.9583332798263416,17,6916,11.4999993579161,12,Standard_QAOA,Standard_Rxx,Tree,12,9,1,0,10100110011
N13_id2_Mix1_Diam_7_p_1,13,2,9,7,1,XX_Mixer,1,0.8749999975020956,7,1323,10.499999970025147,11,Intermediate_Sweep,Standard_Rxx,Tree,12,7,1,0,11000010100
N13_id2_Mix1_Diam_7_p_2,13,2,9,7,1,XX_Mixer,2,0.9166665586485528,12,6360,10.999998703782634,11,Intermediate_Sweep,Standard_Rxx,Tree,12,7,1,0,1100011101011
N13_id2_Mix1_Diam_7_p_3,13,2,9,7,1,XX_Mixer,3,0.9583328075071884,17,6241,11.49999369008626,12,Intermediate_Sweep,Standard_Rxx,Tree,12,7,1,0,10100110011
N13_id2_Mix2_Diam_7_p_1,13,2,9,7,1,XX+YY_Mixer,1,0.8749999805954504,7,1890,10.499999767145404,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,7,2,0,1100111101011
N13_id2_Mix2_Diam_7_p_2,13,2,9,7,1,XX+YY_Mixer,2,0.9166666430905616,12,4081,10.99999971708674,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,7,2,0,1100011101011
N13_id2_Mix2_Diam_7_p_3,13,2,9,7,1,XX+YY_Mixer,3,0.9583332659131738,17,3555,11.499999190958086,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,7,2,0,10100110011
N13_id2_Mix1_Diam_5_p_1,13,2,9,5,2,XX_Mixer,1,0.8749999855071184,7,952,10.49999982608542,11,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,1100111101011
N13_id2_Mix1_Diam_5_p_2,13,2,9,5,2,XX_Mixer,2,0.958333137585526,12,4015,11.499997651026312,11,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,1100111101011
