Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id1_Mix1_Diam_5_p_1,8,1,5,5,0,Standard_QAOA,1,0.8124999979591266,8,714,6.499999983673013,7,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,10100111
N8_id1_Mix1_Diam_5_p_2,8,1,5,5,0,Standard_QAOA,2,0.9374999992025494,12,1155,7.499999993620396,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,1111
N8_id1_Mix1_Diam_5_p_3,8,1,5,5,0,Standard_QAOA,3,0.9999996558371184,16,5194,7.999997246696946,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,11110000
N8_id1_Mix1_Diam_4_p_1,8,1,5,4,1,XX_Mixer,1,0.8124999951844867,8,630,6.499999961475893,7,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,10100111
N8_id1_Mix1_Diam_4_p_2,8,1,5,4,1,XX_Mixer,2,0.9374999695164344,12,1365,7.499999756131475,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,1111
N8_id1_Mix1_Diam_4_p_3,8,1,5,4,1,XX_Mixer,3,0.9999992719488516,16,5512,7.999994175590812,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,11110000
N8_id1_Mix2_Diam_4_p_1,8,1,5,4,1,XX+YY_Mixer,1,0.8124999963816657,8,630,6.499999971053326,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,10100111
N8_id1_Mix2_Diam_4_p_2,8,1,5,4,1,XX+YY_Mixer,2,0.9999999571221752,12,2240,7.999999656977401,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,1111
N8_id1_Mix2_Diam_4_p_3,8,1,5,4,1,XX+YY_Mixer,3,0.9999999401663292,17,3068,7.999999521330633,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,1111
N8_id1_Mix1_Diam_3_p_1,8,1,5,3,2,XX_Mixer,1,0.8124999968436948,9,779,6.499999974749558,7,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,10100111
N8_id1_Mix1_Diam_3_p_2,8,1,5,3,2,XX_Mixer,2,0.937499971994723,17,1887,7.499999775957784,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,1111
N8_id1_Mix1_Diam_3_p_3,8,1,5,3,2,XX_Mixer,3,0.9999998801883936,25,4510,7.999999041507149,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,1111
N8_id1_Mix2_Diam_3_p_1,8,1,5,3,2,XX+YY_Mixer,1,0.81249999683501,10,1064,6.49999997468008,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,11110000
N8_id1_Mix2_Diam_3_p_2,8,1,5,3,2,XX+YY_Mixer,2,0.9999999639539434,19,1406,7.999999711631547,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,1111
N8_id1_Mix2_Diam_3_p_3,8,1,5,3,2,XX+YY_Mixer,3,0.9999999631430994,28,3245,7.999999705144795,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,1111
N8_id1_Mix1_Diam_2_p_1,8,1,5,2,5,XX_Mixer,1,0.8124999940230302,10,1386,6.4999999521842415,7,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,11011000
N8_id1_Mix1_Diam_2_p_2,8,1,5,2,5,XX_Mixer,2,0.9374999490177138,18,2365,7.499999592141711,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,1111
N8_id1_Mix1_Diam_2_p_3,8,1,5,2,5,XX_Mixer,3,0.9999998735421028,26,6016,7.999998988336822,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,1111
N8_id1_Mix2_Diam_2_p_1,8,1,5,2,5,XX+YY_Mixer,1,0.8124999645928284,12,880,6.499999716742627,6,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,10110011
N8_id1_Mix2_Diam_2_p_2,8,1,5,2,5,XX+YY_Mixer,2,0.9999999266625526,21,3913,7.99999941330042,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,1111
N8_id1_Mix2_Diam_2_p_3,8,1,5,2,5,XX+YY_Mixer,3,0.9999998433996644,30,5632,7.999998747197316,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,11110000
N8_id1_Mix1_Diam_1_p_1,8,1,5,1,20,XX_Mixer,1,0.8749999319264092,20,3811,6.999999455411274,8,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,1111
N8_id1_Mix1_Diam_1_p_2,8,1,5,1,20,XX_Mixer,2,0.999999912891832,39,8906,7.999999303134656,8,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,11110000
N8_id1_Mix1_Diam_1_p_3,8,1,5,1,20,XX_Mixer,3,0.9999986955009582,58,14279,7.999989564007666,8,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,1111
N8_id1_Mix2_Diam_1_p_1,8,1,5,1,20,XX+YY_Mixer,1,0.9999999385791438,32,1924,7.999999508633151,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,1111
N8_id1_Mix2_Diam_1_p_2,8,1,5,1,20,XX+YY_Mixer,2,0.9999996408087356,63,5402,7.999997126469886,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,1111
N8_id1_Mix2_Diam_1_p_3,8,1,5,1,20,XX+YY_Mixer,3,0.999997467614454,94,14061,7.999979740915633,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,11110000
N8_id4_Mix1_Diam_5_p_1,8,4,5,5,0,Standard_QAOA,1,0.8124999978045833,7,1003,6.499999982436666,6,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,1001001
N8_id4_Mix1_Diam_5_p_2,8,4,5,5,0,Standard_QAOA,2,0.9374999738481044,11,1617,7.499999790784835,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,1111
N8_id4_Mix1_Diam_5_p_3,8,4,5,5,0,Standard_QAOA,3,0.9999999568781012,15,2107,7.999999655024808,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,1111
N8_id4_Mix1_Diam_4_p_1,8,4,5,4,1,XX_Mixer,1,0.8124999957619211,7,738,6.499999966095369,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,1111
N8_id4_Mix1_Diam_4_p_2,8,4,5,4,1,XX_Mixer,2,0.937499976044374,11,1050,7.499999808354991,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,11110000
N8_id4_Mix1_Diam_4_p_3,8,4,5,4,1,XX_Mixer,3,0.9999999363412626,15,2444,7.999999490730101,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,1111
N8_id4_Mix2_Diam_4_p_1,8,4,5,4,1,XX+YY_Mixer,1,0.8124999824792172,7,558,6.499999859833737,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,11110000
N8_id4_Mix2_Diam_4_p_2,8,4,5,4,1,XX+YY_Mixer,2,0.9999999744172609,11,2380,7.999999795338086,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,1111
N8_id4_Mix2_Diam_4_p_3,8,4,5,4,1,XX+YY_Mixer,3,0.9999998235526464,15,3068,7.999998588421172,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,4,2,0,1111
N8_id4_Mix1_Diam_3_p_1,8,4,5,3,2,XX_Mixer,1,0.8124999977792788,7,665,6.499999982234231,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,11110000
N8_id4_Mix1_Diam_3_p_2,8,4,5,3,2,XX_Mixer,2,0.937499980022772,11,1628,7.499999840182176,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,11110000
N8_id4_Mix1_Diam_3_p_3,8,4,5,3,2,XX_Mixer,3,0.9999998879005854,15,2365,7.999999103204683,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,3,1,0,1111
N8_id4_Mix2_Diam_3_p_1,8,4,5,3,2,XX+YY_Mixer,1,0.8124999936896335,8,646,6.499999949517068,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,1111
N8_id4_Mix2_Diam_3_p_2,8,4,5,3,2,XX+YY_Mixer,2,0.9999999559477872,14,3034,7.999999647582299,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,1111
N8_id4_Mix2_Diam_3_p_3,8,4,5,3,2,XX+YY_Mixer,3,0.9999998921907616,20,3795,7.999999137526092,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,3,2,0,1111
N8_id4_Mix1_Diam_2_p_1,8,4,5,2,5,XX_Mixer,1,0.8124999948580965,8,990,6.499999958864772,6,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,10110110
N8_id4_Mix1_Diam_2_p_2,8,4,5,2,5,XX_Mixer,2,0.9374999657583634,15,1677,7.499999726066907,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,11110000
N8_id4_Mix1_Diam_2_p_3,8,4,5,2,5,XX_Mixer,3,0.9999996710982704,22,4608,7.999997368786163,8,Intermediate_Sweep,Standard_Rxx,Bipartite,8,2,1,0,11110000
N8_id4_Mix2_Diam_2_p_1,8,4,5,2,5,XX+YY_Mixer,1,0.812499986606932,10,902,6.499999892855456,6,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,10110110
N8_id4_Mix2_Diam_2_p_2,8,4,5,2,5,XX+YY_Mixer,2,0.9999998780358036,18,3526,7.99999902428643,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,1111
N8_id4_Mix2_Diam_2_p_3,8,4,5,2,5,XX+YY_Mixer,3,0.999999504840992,26,6912,7.999996038727935,8,Intermediate_Sweep,XX+YY_Driver,Bipartite,8,2,2,0,11110000
N8_id4_Mix1_Diam_1_p_1,8,4,5,1,20,XX_Mixer,1,0.8749999782759968,18,3219,6.999999826207975,6,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,1001001
N8_id4_Mix1_Diam_1_p_2,8,4,5,1,20,XX_Mixer,2,0.9999999542127712,33,10001,7.99999963370217,8,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,1111
N8_id4_Mix1_Diam_1_p_3,8,4,5,1,20,XX_Mixer,3,0.9999997443047066,48,11990,7.999997954437653,8,Hypo_1,Standard_Rxx,Bipartite,8,1,1,0,1111
N8_id4_Mix2_Diam_1_p_1,8,4,5,1,20,XX+YY_Mixer,1,0.9374998741748384,30,2442,7.499998993398706,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,1111
N8_id4_Mix2_Diam_1_p_2,8,4,5,1,20,XX+YY_Mixer,2,0.9999996347077432,58,6497,7.999997077661945,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,1111
N8_id4_Mix2_Diam_1_p_3,8,4,5,1,20,XX+YY_Mixer,3,0.999994551745438,86,10464,7.999956413963504,8,Hypo_1,XX+YY_Driver,Bipartite,8,1,2,0,11110000
N9_id0_Mix1_Diam_5_p_1,9,0,5,5,0,Standard_QAOA,1,0.874999996415475,7,576,6.9999999713238,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,111110000
N9_id0_Mix1_Diam_5_p_2,9,0,5,5,0,Standard_QAOA,2,0.9374999913549446,12,1470,7.499999930839556,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,111110000
N9_id0_Mix1_Diam_5_p_3,9,0,5,5,0,Standard_QAOA,3,0.9999996928519522,17,3484,7.999997542815618,8,Standard_QAOA,Standard_Rxx,Bipartite,8,5,1,0,1111
N9_id0_Mix1_Diam_4_p_1,9,0,5,4,1,XX_Mixer,1,0.8749999960055075,7,532,6.99999996804406,7,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,11101101
N9_id0_Mix1_Diam_4_p_2,9,0,5,4,1,XX_Mixer,2,0.9374999971688628,12,2590,7.499999977350901,7,Intermediate_Sweep,Standard_Rxx,Bipartite,8,4,1,0,11101101
