Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N9_id1_Mix1_Diam_7_p_1,9,1,7,7,0,Standard_QAOA,1,0.8221687741588111,6,1026,6.5773501932704885,8,Standard_QAOA,Standard_Rxx,Tree,8,7,1,0,10100111
N9_id1_Mix1_Diam_7_p_2,9,1,7,7,0,Standard_QAOA,2,0.9374999729322052,10,1680,7.499999783457642,8,Standard_QAOA,Standard_Rxx,Tree,8,7,1,0,10100111
N9_id1_Mix1_Diam_7_p_3,9,1,7,7,0,Standard_QAOA,3,0.9374999833874444,14,2392,7.499999867099556,8,Standard_QAOA,Standard_Rxx,Tree,8,7,1,0,10100111
N9_id1_Mix1_Diam_5_p_1,9,1,7,5,1,XX_Mixer,1,0.8221687394809327,6,969,6.577349915847462,8,Intermediate_Sweep,Standard_Rxx,Tree,8,5,1,0,101011000
N9_id1_Mix1_Diam_5_p_2,9,1,7,5,1,XX_Mixer,2,0.9374999930841332,10,1554,7.499999944673066,8,Intermediate_Sweep,Standard_Rxx,Tree,8,5,1,0,10100111
N9_id1_Mix1_Diam_5_p_3,9,1,7,5,1,XX_Mixer,3,0.9374997563979908,14,3080,7.499998051183925,8,Intermediate_Sweep,Standard_Rxx,Tree,8,5,1,0,101011000
N9_id1_Mix2_Diam_5_p_1,9,1,7,5,1,XX+YY_Mixer,1,0.8221687661476615,6,684,6.577350129181292,7,Intermediate_Sweep,XX+YY_Driver,Tree,8,5,2,0,111010010
N9_id1_Mix2_Diam_5_p_2,9,1,7,5,1,XX+YY_Mixer,2,0.937499986095404,11,2294,7.499999888763233,8,Intermediate_Sweep,XX+YY_Driver,Tree,8,5,2,0,10100111
N9_id1_Mix2_Diam_5_p_3,9,1,7,5,1,XX+YY_Mixer,3,0.9374998400705588,15,2750,7.499998720564471,8,Intermediate_Sweep,XX+YY_Driver,Tree,8,5,2,0,10100111
N9_id1_Mix1_Diam_4_p_1,9,1,7,4,2,XX_Mixer,1,0.8221687404206617,7,720,6.577349923365293,8,Intermediate_Sweep,Standard_Rxx,Tree,8,4,1,0,101011000
N9_id1_Mix1_Diam_4_p_2,9,1,7,4,2,XX_Mixer,2,0.9374999340980196,11,2808,7.499999472784156,8,Intermediate_Sweep,Standard_Rxx,Tree,8,4,1,0,10100111
