Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N12_id1_Mix1_Diam_8_p_1,12,1,8,8,0,Standard_QAOA,1,0.8636363595129233,7,768,9.499999954642156,11,Standard_QAOA,Standard_Rxx,Tree,11,8,1,0,11101011000
N12_id1_Mix1_Diam_8_p_2,12,1,8,8,0,Standard_QAOA,2,0.9090908806442118,12,2679,9.99999968708633,11,Standard_QAOA,Standard_Rxx,Tree,11,8,1,0,11101011000
N12_id1_Mix1_Diam_8_p_3,12,1,8,8,0,Standard_QAOA,3,0.9545433706843912,17,5250,10.499977077528303,11,Standard_QAOA,Standard_Rxx,Tree,11,8,1,0,11101011000
N12_id1_Mix1_Diam_5_p_1,12,1,8,5,1,XX_Mixer,1,0.863636353256301,7,1950,9.49999988581931,10,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,1001011100
N12_id1_Mix1_Diam_5_p_2,12,1,8,5,1,XX_Mixer,2,0.9090908943736724,12,1911,9.999999838110398,11,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,11101011000
N12_id1_Mix1_Diam_5_p_3,12,1,8,5,1,XX_Mixer,3,0.954543898056443,17,8322,10.499982878620871,11,Intermediate_Sweep,Standard_Rxx,Tree,11,5,1,0,11101011000
N12_id1_Mix2_Diam_5_p_1,12,1,8,5,1,XX+YY_Mixer,1,0.8636363503154718,7,1025,9.49999985347019,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,11101011000
N12_id1_Mix2_Diam_5_p_2,12,1,8,5,1,XX+YY_Mixer,2,0.9090908865800018,12,2646,9.99999975238002,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,11101011000
N12_id1_Mix2_Diam_5_p_3,12,1,8,5,1,XX+YY_Mixer,3,0.9545449373799848,17,4672,10.499994311179831,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,5,2,0,11101011000
N12_id1_Mix1_Diam_4_p_1,12,1,8,4,3,XX_Mixer,1,0.8636363523694697,7,1188,9.499999876064166,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,11101011000
N12_id1_Mix1_Diam_4_p_2,12,1,8,4,3,XX_Mixer,2,0.9090908714232578,13,2703,9.999999585655836,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,100010100111
N12_id1_Mix1_Diam_4_p_3,12,1,8,4,3,XX_Mixer,3,0.9545449845320017,18,9243,10.499994829852016,11,Intermediate_Sweep,Standard_Rxx,Tree,11,4,1,0,11101011000
N12_id1_Mix2_Diam_4_p_1,12,1,8,4,3,XX+YY_Mixer,1,0.8636363532882886,8,1134,9.499999886171176,11,Intermediate_Sweep,XX+YY_Driver,Tree,11,4,2,0,11101011000
