Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N11_id1_Mix1_Diam_9_p_1,11,1,9,9,0,Standard_QAOA,1,0.8499999945164969,7,594,8.49999994516497,10,Standard_QAOA,Standard_Rxx,Bipartite,10,9,1,0,11111100000
N11_id1_Mix1_Diam_9_p_2,11,1,9,9,0,Standard_QAOA,2,0.8999999813951076,11,2021,8.999999813951076,10,Standard_QAOA,Standard_Rxx,Bipartite,10,9,1,0,11111
N11_id1_Mix1_Diam_9_p_3,11,1,9,9,0,Standard_QAOA,3,0.9499994439047176,15,7808,9.499994439047176,10,Standard_QAOA,Standard_Rxx,Bipartite,10,9,1,0,11111100000
N11_id1_Mix1_Diam_6_p_1,11,1,9,6,1,XX_Mixer,1,0.8499999922657402,7,1196,8.499999922657402,8,Intermediate_Sweep,Standard_Rxx,Bipartite,10,6,1,0,10111001101
N11_id1_Mix1_Diam_6_p_2,11,1,9,6,1,XX_Mixer,2,0.8999997343608662,11,2790,8.999997343608662,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,6,1,0,11111
N11_id1_Mix1_Diam_6_p_3,11,1,9,6,1,XX_Mixer,3,0.9499986864369774,15,6834,9.499986864369774,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,6,1,0,11111100000
N11_id1_Mix2_Diam_6_p_1,11,1,9,6,1,XX+YY_Mixer,1,0.8499999969959839,7,713,8.49999996995984,9,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,6,2,0,11111000101
N11_id1_Mix2_Diam_6_p_2,11,1,9,6,1,XX+YY_Mixer,2,0.8999999579920572,11,2385,8.999999579920573,9,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,6,2,0,11000010111
N11_id1_Mix2_Diam_6_p_3,11,1,9,6,1,XX+YY_Mixer,3,0.94999972944323,15,4221,9.4999972944323,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,6,2,0,11111
N11_id1_Mix1_Diam_5_p_1,11,1,9,5,2,XX_Mixer,1,0.8499999991422262,7,864,8.499999991422262,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,5,1,0,11111
N11_id1_Mix1_Diam_5_p_2,11,1,9,5,2,XX_Mixer,2,0.8999998846198203,11,2162,8.999998846198203,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,5,1,0,11111
N11_id1_Mix1_Diam_5_p_3,11,1,9,5,2,XX_Mixer,3,0.949999044141603,15,6930,9.49999044141603,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,5,1,0,11111
N11_id1_Mix2_Diam_5_p_1,11,1,9,5,2,XX+YY_Mixer,1,0.8499999976278632,7,1248,8.499999976278632,9,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,5,2,0,11111000101
N11_id1_Mix2_Diam_5_p_2,11,1,9,5,2,XX+YY_Mixer,2,0.8999999566834,13,5358,8.999999566834001,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,5,2,0,11111
N11_id1_Mix2_Diam_5_p_3,11,1,9,5,2,XX+YY_Mixer,3,0.9499994142330788,19,10360,9.499994142330786,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,5,2,0,11111
N11_id1_Mix1_Diam_4_p_1,11,1,9,4,3,XX_Mixer,1,0.84999999622498,7,1150,8.4999999622498,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,4,1,0,11111100000
N11_id1_Mix1_Diam_4_p_2,11,1,9,4,3,XX_Mixer,2,0.8999999780548731,11,4410,8.99999978054873,9,Intermediate_Sweep,Standard_Rxx,Bipartite,10,4,1,0,111101010
N11_id1_Mix1_Diam_4_p_3,11,1,9,4,3,XX_Mixer,3,0.9499993115037983,17,9636,9.499993115037984,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,4,1,0,11111100000
N11_id1_Mix2_Diam_4_p_1,11,1,9,4,3,XX+YY_Mixer,1,0.8499999867686914,7,1150,8.499999867686913,9,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,4,2,0,11111000101
N11_id1_Mix2_Diam_4_p_2,11,1,9,4,3,XX+YY_Mixer,2,0.8999999621470064,13,3136,8.999999621470064,9,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,4,2,0,11000010101
N11_id1_Mix2_Diam_4_p_3,11,1,9,4,3,XX+YY_Mixer,3,0.999999130570642,19,13286,9.99999130570642,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,4,2,0,11111
N11_id1_Mix1_Diam_3_p_1,11,1,9,3,4,XX_Mixer,1,0.8499999871607485,8,884,8.499999871607486,9,Intermediate_Sweep,Standard_Rxx,Bipartite,10,3,1,0,11111000101
