Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id0_Mix1_Diam_4_p_1,8,0,4,4,0,Standard_QAOA,1,0.8124999969312809,9,629,6.499999975450248,6,Standard_QAOA,Standard_Rxx,4-Regular,8,4,1,0,1010010
N8_id0_Mix1_Diam_4_p_2,8,0,4,4,0,Standard_QAOA,2,0.8749999702782328,12,2673,6.999999762225863,8,Standard_QAOA,Standard_Rxx,4-Regular,8,4,1,0,1010101
N8_id0_Mix1_Diam_4_p_3,8,0,4,4,0,Standard_QAOA,3,0.874999786666568,19,2842,6.999998293332544,8,Standard_QAOA,Standard_Rxx,4-Regular,8,4,1,0,1010101
N8_id0_Mix1_Diam_3_p_1,8,0,4,3,2,XX_Mixer,1,0.8124999924938736,10,513,6.499999939950989,6,Intermediate_Sweep,Standard_Rxx,4-Regular,8,3,1,0,10110101
N8_id0_Mix1_Diam_3_p_2,8,0,4,3,2,XX_Mixer,2,0.8749999649324518,18,1517,6.999999719459614,8,Intermediate_Sweep,Standard_Rxx,4-Regular,8,3,1,0,1010101
N8_id0_Mix1_Diam_3_p_3,8,0,4,3,2,XX_Mixer,3,0.8749997201599324,26,5940,6.99999776127946,8,Intermediate_Sweep,Standard_Rxx,4-Regular,8,3,1,0,10101010
N8_id0_Mix2_Diam_3_p_1,8,0,4,3,2,XX+YY_Mixer,1,0.8124999931985337,11,950,6.49999994558827,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,3,2,0,1010101
N8_id0_Mix2_Diam_3_p_2,8,0,4,3,2,XX+YY_Mixer,2,0.8749999890649249,20,1887,6.9999999125194,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,3,2,0,10101010
N8_id0_Mix2_Diam_3_p_3,8,0,4,3,2,XX+YY_Mixer,3,0.99999962517519,29,5665,7.999997001401519,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,3,2,0,10101010
N8_id0_Mix1_Diam_2_p_1,8,0,4,2,4,XX_Mixer,1,0.8124999852786107,10,945,6.499999882228885,6,Intermediate_Sweep,Standard_Rxx,4-Regular,8,2,1,0,1011011
N8_id0_Mix1_Diam_2_p_2,8,0,4,2,4,XX_Mixer,2,0.8749999854039463,18,2091,6.99999988323157,8,Intermediate_Sweep,Standard_Rxx,4-Regular,8,2,1,0,10101010
N8_id0_Mix1_Diam_2_p_3,8,0,4,2,4,XX_Mixer,3,0.87499974469274,26,3843,6.99999795754192,8,Intermediate_Sweep,Standard_Rxx,4-Regular,8,2,1,0,1010101
N8_id0_Mix2_Diam_2_p_1,8,0,4,2,4,XX+YY_Mixer,1,0.812499975755737,11,840,6.499999806045896,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,2,2,0,1010101
N8_id0_Mix2_Diam_2_p_2,8,0,4,2,4,XX+YY_Mixer,2,0.9999999756089666,20,2091,7.999999804871733,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,2,2,0,1010101
N8_id0_Mix2_Diam_2_p_3,8,0,4,2,4,XX+YY_Mixer,3,0.9999995891495334,29,5673,7.999996713196267,8,Intermediate_Sweep,XX+YY_Driver,4-Regular,8,2,2,0,1010101
