Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N16_id0_Mix1_Diam_11_p_1,16,0,11,11,0,Standard_QAOA,1,0.8333333255948493,8,1952,12.49999988392274,13,Standard_QAOA,Standard_Rxx,Tree,15,11,1,0,11100001111111
N16_id0_Mix1_Diam_11_p_2,16,0,11,11,0,Standard_QAOA,2,0.933333304775621,14,4032,13.999999571634316,14,Standard_QAOA,Standard_Rxx,Tree,15,11,1,0,11010011011001
N16_id0_Mix1_Diam_11_p_3,16,0,11,11,0,Standard_QAOA,3,0.9666664629879872,18,9964,14.499996944819806,15,Standard_QAOA,Standard_Rxx,Tree,15,11,1,0,111100000110110
N16_id0_Mix1_Diam_8_p_1,16,0,11,8,1,XX_Mixer,1,0.8333333274811765,9,1947,12.499999912217648,14,Intermediate_Sweep,Standard_Rxx,Tree,15,8,1,0,1100101100100010
N16_id0_Mix1_Diam_8_p_2,16,0,11,8,1,XX_Mixer,2,0.933333180861034,15,4615,13.999997712915512,15,Intermediate_Sweep,Standard_Rxx,Tree,15,8,1,0,111100000110110
N16_id0_Mix1_Diam_8_p_3,16,0,11,8,1,XX_Mixer,3,0.9333323857855912,19,10670,13.999985786783869,15,Intermediate_Sweep,Standard_Rxx,Tree,15,8,1,0,111100000110110
N16_id0_Mix2_Diam_8_p_1,16,0,11,8,1,XX+YY_Mixer,1,0.8333333176800974,10,1221,12.499999765201462,14,Intermediate_Sweep,XX+YY_Driver,Tree,15,8,2,0,1110101000100110
N16_id0_Mix2_Diam_8_p_2,16,0,11,8,1,XX+YY_Mixer,2,0.9333332876080678,16,5135,13.999999314121016,14,Intermediate_Sweep,XX+YY_Driver,Tree,15,8,2,0,11010011011001
N16_id0_Mix2_Diam_8_p_3,16,0,11,8,1,XX+YY_Mixer,3,0.9333320795660964,20,7954,13.999981193491449,15,Intermediate_Sweep,XX+YY_Driver,Tree,15,8,2,0,111100000110110
N16_id0_Mix1_Diam_7_p_1,16,0,11,7,2,XX_Mixer,1,0.8333333160412908,9,1190,12.499999740619362,14,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,1100101100100010
N16_id0_Mix1_Diam_7_p_2,16,0,11,7,2,XX_Mixer,2,0.9333333189241572,15,7169,13.999999783862355,15,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,1000011111001001
N16_id0_Mix1_Diam_7_p_3,16,0,11,7,2,XX_Mixer,3,0.9666660007523148,19,7300,14.49999001128472,14,Intermediate_Sweep,Standard_Rxx,Tree,15,7,1,0,11010011011101
N16_id0_Mix2_Diam_7_p_1,16,0,11,7,2,XX+YY_Mixer,1,0.8333333106909806,10,1734,12.49999966036471,15,Intermediate_Sweep,XX+YY_Driver,Tree,15,7,2,0,111100000110110
N16_id0_Mix2_Diam_7_p_2,16,0,11,7,2,XX+YY_Mixer,2,0.9333332541557684,16,2881,13.999998812336528,15,Intermediate_Sweep,XX+YY_Driver,Tree,15,7,2,0,111100000110110
