Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id0_Mix1_Diam_4_p_1,8,0,4,4,0,Standard_QAOA,1,0.868192888414611,7,512,6.077350218902277,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,10111100
N8_id0_Mix1_Diam_4_p_2,8,0,4,4,0,Standard_QAOA,2,0.9999999404448668,11,2418,6.999999583114068,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,1000011
N8_id0_Mix1_Diam_4_p_3,8,0,4,4,0,Standard_QAOA,3,0.9999998990567952,15,3588,6.999999293397566,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,10111100
N8_id0_Mix1_Diam_3_p_1,8,0,4,3,2,XX_Mixer,1,0.8681928765008428,7,936,6.077350135505899,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,10111100
N8_id0_Mix1_Diam_3_p_2,8,0,4,3,2,XX_Mixer,2,0.9999999815125028,11,1680,6.999999870587519,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,1000011
N8_id0_Mix1_Diam_3_p_3,8,0,4,3,2,XX_Mixer,3,0.999999973697922,16,3900,6.999999815885454,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,10111100
N8_id0_Mix2_Diam_3_p_1,8,0,4,3,2,XX+YY_Mixer,1,0.8681928728393704,7,648,6.077350109875593,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,10111100
N8_id0_Mix2_Diam_3_p_2,8,0,4,3,2,XX+YY_Mixer,2,0.9999999976091428,12,1295,6.999999983264001,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,1000011
N8_id0_Mix2_Diam_3_p_3,8,0,4,3,2,XX+YY_Mixer,3,0.9999999729332326,17,4212,6.999999810532628,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,10111100
N8_id0_Mix1_Diam_2_p_1,8,0,4,2,6,XX_Mixer,1,0.8681928811078359,8,792,6.077350167754851,7,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,10111100
N8_id0_Mix1_Diam_2_p_2,8,0,4,2,6,XX_Mixer,2,0.9999999755985416,15,2924,6.999999829189791,7,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,1000011
N8_id0_Mix1_Diam_2_p_3,8,0,4,2,6,XX_Mixer,3,0.9999994827579742,22,3392,6.99999637930582,7,Intermediate_Sweep,Standard_Rxx,Tree,7,2,1,0,10111100
N8_id0_Mix2_Diam_2_p_1,8,0,4,2,6,XX+YY_Mixer,1,0.8681928421154304,12,1804,6.0773498948080125,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,1000011
N8_id0_Mix2_Diam_2_p_2,8,0,4,2,6,XX+YY_Mixer,2,0.9999998753394718,23,2408,6.999999127376302,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,1000011
N8_id0_Mix2_Diam_2_p_3,8,0,4,2,6,XX+YY_Mixer,3,0.999999688373303,34,6528,6.999997818613121,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,2,2,0,1000011
N8_id0_Mix1_Diam_1_p_1,8,0,4,1,21,XX_Mixer,1,0.928571396106138,15,2923,6.4999997727429655,7,Hypo_1,Standard_Rxx,Tree,7,1,1,0,1000011
N8_id0_Mix1_Diam_1_p_2,8,0,4,1,21,XX_Mixer,2,0.9999998933091054,29,7519,6.999999253163738,7,Hypo_1,Standard_Rxx,Tree,7,1,1,0,10111100
N8_id0_Mix1_Diam_1_p_3,8,0,4,1,21,XX_Mixer,3,0.9999999221559264,43,12535,6.999999455091485,7,Hypo_1,Standard_Rxx,Tree,7,1,1,0,10111100
N8_id0_Mix2_Diam_1_p_1,8,0,4,1,21,XX+YY_Mixer,1,0.9285713705538392,24,2368,6.499999593876876,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1000011
N8_id0_Mix2_Diam_1_p_2,8,0,4,1,21,XX+YY_Mixer,2,0.9999995063967572,47,11242,6.9999965447773,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1000011
N8_id0_Mix2_Diam_1_p_3,8,0,4,1,21,XX+YY_Mixer,3,0.999997661738844,70,15042,6.999983632171908,7,Hypo_1,XX+YY_Driver,Tree,7,1,2,0,1000011
N8_id3_Mix1_Diam_4_p_1,8,3,4,4,0,Standard_QAOA,1,0.8681928846708986,6,560,6.07735019269629,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,110111
N8_id3_Mix1_Diam_4_p_2,8,3,4,4,0,Standard_QAOA,2,0.9999999800472208,11,1271,6.999999860330545,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,11001000
N8_id3_Mix1_Diam_4_p_3,8,3,4,4,0,Standard_QAOA,3,0.9999999909352076,16,2484,6.999999936546454,7,Standard_QAOA,Standard_Rxx,Tree,7,4,1,0,11001000
N8_id3_Mix1_Diam_3_p_1,8,3,4,3,1,XX_Mixer,1,0.8681928867486491,7,969,6.077350207240544,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,110111
N8_id3_Mix1_Diam_3_p_2,8,3,4,3,1,XX_Mixer,2,0.9999999853324592,12,1188,6.999999897327215,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,110111
N8_id3_Mix1_Diam_3_p_3,8,3,4,3,1,XX_Mixer,3,0.9999999397795024,17,2107,6.999999578456516,7,Intermediate_Sweep,Standard_Rxx,Tree,7,3,1,0,11001000
N8_id3_Mix2_Diam_3_p_1,8,3,4,3,1,XX+YY_Mixer,1,0.868192860066416,8,612,6.0773500204649125,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,110111
N8_id3_Mix2_Diam_3_p_2,8,3,4,3,1,XX+YY_Mixer,2,0.9999999808687648,13,1287,6.999999866081353,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,110111
N8_id3_Mix2_Diam_3_p_3,8,3,4,3,1,XX+YY_Mixer,3,0.9999999709850744,18,2940,6.99999979689552,7,Intermediate_Sweep,XX+YY_Driver,Tree,7,3,2,0,110111
