Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id0_Mix1_Diam_4_p_1,8,0,4,4,0,Standard_QAOA,1,0.7499999993415865,9,608,7.499999993415864,10,Standard_QAOA,Standard_Rxx,Bipartite,10,4,1,0,11110000
N8_id0_Mix1_Diam_4_p_2,8,0,4,4,0,Standard_QAOA,2,0.9999999651683036,14,1480,9.999999651683035,10,Standard_QAOA,Standard_Rxx,Bipartite,10,4,1,0,1111
N8_id0_Mix1_Diam_4_p_3,8,0,4,4,0,Standard_QAOA,3,0.9999997096397362,19,2145,9.999997096397362,10,Standard_QAOA,Standard_Rxx,Bipartite,10,4,1,0,11110000
N8_id0_Mix1_Diam_3_p_1,8,0,4,3,1,XX_Mixer,1,0.7499999895952921,10,560,7.4999998959529215,6,Intermediate_Sweep,Standard_Rxx,Bipartite,10,3,1,0,111110
N8_id0_Mix1_Diam_3_p_2,8,0,4,3,1,XX_Mixer,2,0.9999999638722704,18,1482,9.999999638722706,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,3,1,0,1111
N8_id0_Mix1_Diam_3_p_3,8,0,4,3,1,XX_Mixer,3,0.999999891510545,26,2668,9.99999891510545,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,3,1,0,11110000
N8_id0_Mix2_Diam_3_p_1,8,0,4,3,1,XX+YY_Mixer,1,0.749999974588438,11,980,7.499999745884381,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,3,2,0,1111
N8_id0_Mix2_Diam_3_p_2,8,0,4,3,1,XX+YY_Mixer,2,0.9999999862677672,20,1482,9.999999862677672,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,3,2,0,1111
N8_id0_Mix2_Diam_3_p_3,8,0,4,3,1,XX+YY_Mixer,3,0.9999996114170262,29,4930,9.999996114170262,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,3,2,0,11110000
N8_id0_Mix1_Diam_2_p_1,8,0,4,2,3,XX_Mixer,1,0.7499999922925523,12,1782,7.499999922925523,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,2,1,0,1111
N8_id0_Mix1_Diam_2_p_2,8,0,4,2,3,XX_Mixer,2,0.9999999691793204,21,2967,9.999999691793205,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,2,1,0,11110000
N8_id0_Mix1_Diam_2_p_3,8,0,4,2,3,XX_Mixer,3,0.9999999319902226,30,4032,9.999999319902226,10,Intermediate_Sweep,Standard_Rxx,Bipartite,10,2,1,0,1111
N8_id0_Mix2_Diam_2_p_1,8,0,4,2,3,XX+YY_Mixer,1,0.824999955214488,15,858,8.24999955214488,10,Intermediate_Sweep,XX+YY_Driver,Bipartite,10,2,2,0,1111
