Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N13_id1_Mix1_Diam_10_p_1,13,1,10,10,0,Standard_QAOA,1,0.874999988929629,7,1222,10.499999867155548,10,Standard_QAOA,Standard_Rxx,Tree,12,10,1,0,10111110111
N13_id1_Mix1_Diam_10_p_2,13,1,10,10,0,Standard_QAOA,2,0.9166666015076942,11,2397,10.99999921809233,11,Standard_QAOA,Standard_Rxx,Tree,12,10,1,0,11000001101
N13_id1_Mix1_Diam_10_p_3,13,1,10,10,0,Standard_QAOA,3,0.9583324465599908,15,9804,11.49998935871989,12,Standard_QAOA,Standard_Rxx,Tree,12,10,1,0,1001000001110
N13_id1_Mix1_Diam_6_p_1,13,1,10,6,1,XX_Mixer,1,0.8749999841190612,7,1377,10.499999809428736,11,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,1100111110000
N13_id1_Mix1_Diam_6_p_2,13,1,10,6,1,XX_Mixer,2,0.9166666125248484,11,2491,10.999999350298182,12,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,110111110001
N13_id1_Mix1_Diam_6_p_3,13,1,10,6,1,XX_Mixer,3,0.9583316529747068,15,9006,11.499979835696482,12,Intermediate_Sweep,Standard_Rxx,Tree,12,6,1,0,1001000001110
N13_id1_Mix2_Diam_6_p_1,13,1,10,6,1,XX+YY_Mixer,1,0.8749999910311832,8,1053,10.499999892374198,10,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,10111110111
N13_id1_Mix2_Diam_6_p_2,13,1,10,6,1,XX+YY_Mixer,2,0.916666544171485,12,2067,10.99999853005782,11,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,1001000001111
N13_id1_Mix2_Diam_6_p_3,13,1,10,6,1,XX+YY_Mixer,3,0.9583327461700571,16,7189,11.499992954040689,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,6,2,0,1001000001110
N13_id1_Mix1_Diam_5_p_1,13,1,10,5,3,XX_Mixer,1,0.8749999823173186,8,1334,10.499999787807823,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,110111110001
N13_id1_Mix1_Diam_5_p_2,13,1,10,5,3,XX_Mixer,2,0.9166665919640998,13,5187,10.999999103569198,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,1001000001110
N13_id1_Mix1_Diam_5_p_3,13,1,10,5,3,XX_Mixer,3,0.9166683687705858,19,7565,11.00002042524703,12,Intermediate_Sweep,Standard_Rxx,Tree,12,5,1,0,110111110001
N13_id1_Mix2_Diam_5_p_1,13,1,10,5,3,XX+YY_Mixer,1,0.8749999879333576,9,1160,10.499999855200292,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110111110001
N13_id1_Mix2_Diam_5_p_2,13,1,10,5,3,XX+YY_Mixer,2,0.9166665087783284,15,5073,10.99999810533994,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110111110001
N13_id1_Mix2_Diam_5_p_3,13,1,10,5,3,XX+YY_Mixer,3,0.9583327907733358,22,11560,11.49999348928003,12,Intermediate_Sweep,XX+YY_Driver,Tree,12,5,2,0,110111110001
