Detailed_Label,Total_Vertices,Graph_Instance_ID,Base_Diameter,Achieved_Reduced_Diameter,Auxiliary_Shortcuts_Added,Formal_Strategy,QAOA_Layers_p,Approximation_Ratio_AR,Physical_Circuit_Depth,Optimization_Iterations,Converged_Expectation_Value,Evaluated_Classical_Cut,Hypothesis_Category,Mixer_Type,Graph_Type,Original_Edges,Target_Reduced_Diameter,Mixer_Strategy_Case,Compiler_Opt_Level,Dominant_Measured_Bitstring
N8_id3_Mix1_Diam_6_p_2,8,3,6,6,0,Standard_QAOA,2,0.928571425280162,10,2139,6.499999976961134,7,Standard_QAOA,Standard_Rxx,Bipartite,7,6,1,0,11110000
N8_id3_Mix1_Diam_6_p_3,8,3,6,6,0,Standard_QAOA,3,0.9285713903579016,14,1978,6.499999732505311,7,Standard_QAOA,Standard_Rxx,Bipartite,7,6,1,0,1111
N8_id3_Mix1_Diam_4_p_1,8,3,6,4,1,XX_Mixer,1,0.8571428545202987,7,476,5.999999981642091,6,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,11101001
N8_id3_Mix1_Diam_4_p_2,8,3,6,4,1,XX_Mixer,2,0.9285714118261312,11,1452,6.499999882782918,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,11110000
N8_id3_Mix1_Diam_4_p_3,8,3,6,4,1,XX_Mixer,3,0.9999998054045748,16,4704,6.999998637832023,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,4,1,0,1111
N8_id3_Mix2_Diam_4_p_1,8,3,6,4,1,XX+YY_Mixer,1,0.8571428460614013,8,799,5.99999992242981,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,1111
N8_id3_Mix2_Diam_4_p_2,8,3,6,4,1,XX+YY_Mixer,2,0.9285714201025728,12,1353,6.49999994071801,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,1111
N8_id3_Mix2_Diam_4_p_3,8,3,6,4,1,XX+YY_Mixer,3,0.9999959626535708,18,4655,6.999971738574995,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,4,2,0,11110000
N8_id3_Mix1_Diam_3_p_1,8,3,6,3,2,XX_Mixer,1,0.8571428481786486,7,648,5.99999993725054,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,3,1,0,11110000
N8_id3_Mix1_Diam_3_p_2,8,3,6,3,2,XX_Mixer,2,0.9285714137659205,11,1435,6.499999896361443,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,3,1,0,11110000
N8_id3_Mix1_Diam_3_p_3,8,3,6,3,2,XX_Mixer,3,0.999996410837731,17,4004,6.999974875864117,7,Intermediate_Sweep,Standard_Rxx,Bipartite,7,3,1,0,1111
N8_id3_Mix2_Diam_3_p_1,8,3,6,3,2,XX+YY_Mixer,1,0.8571428486202665,8,612,5.999999940341866,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,3,2,0,11110000
N8_id3_Mix2_Diam_3_p_2,8,3,6,3,2,XX+YY_Mixer,2,0.9999998427982464,13,1960,6.999998899587724,7,Intermediate_Sweep,XX+YY_Driver,Bipartite,7,3,2,0,1111
